,Job Names,Company Name,Post Time,Location,Job Type,Exp Level,Years Of Exp,Job Skills
0,High-School English Teacher,Delta American School  ,1 hour ago,"Mansoura, Dakahlia, Egypt ",Full Time,Experienced,2+ Yrs of Exp,Education/Teaching Teacher Teaching Education English Teacher School English
1,Java Instructor,MICA ,41 minutes ago,"Haram, Giza, Egypt ",Full Time,Entry Level,IT/Software Development,Engineering - Telecom/Technology Training/Instructor Computer Science Engineering Instructor Java SQL Information technology Web Design
2,Senior Estimator façade Engineer,AluNile ,2 hours ago,"Mohandessin, Giza, Egypt ",Full Time,Experienced,3 - 7 Yrs of Exp,Engineering - Construction/Civil/Architecture Project/Program Management AutoCAD Civil Engineering Construction Engineering Estimation
3,Sales Lead,Hands of Hope Physical Therapy & Wellness ,2 hours ago,"Cairo, Egypt ",Full Time,Manager,6 - 8 Yrs of Exp,Customer Service/Support Operations/Management Sales/Retail Sales Sales Strategies sales skills Sales Target Management Communication skills
4,Payroll Supervisor - October City,GEMS Education ,2 hours ago,"6th of October, Giza, Egypt ",Full Time,Manager,4 - 6 Yrs of Exp,Human Resources Operations/Management Compensation Labor Payroll Social Insurance HRIS Labor Legislation compesation & benefits Budgeting
5,Engineer,Confidential ,3 hours ago,"Abu Qir, Alexandria, Egypt ",Full Time,Experienced,5 - 10 Yrs of Exp,Engineering - Other Infrastructure Engineering Engineering Infrastructure Projects Infrastructure
6,Retail Store Manager,Hijab Boutique ,3 hours ago,"New Cairo, Cairo, Egypt ",Full Time,Manager,5 - 10 Yrs of Exp,Sales/Retail Sales Management Sales Fashion Fashion Sales Fashion Retail Management Retail Management
7,Recruitment Specialist ( Mass Hiring ),Confidential ,3 hours ago,"6th of October, Giza, Egypt ",Full Time,Entry Level,2 - 4 Yrs of Exp,Human Resources Human Resources (HR) Recruitment Human Resources Administration Sourcing Personnel Management MS Office Microsoft Office
8,Budget and Fixed Assets Section Head,Al,4 hours ago,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced,7 - 10 Yrs of Exp,Accounting/Finance Accounting Budgeting Finance Financial Management
9,Systems Analyst,Confidential ,4 hours ago,"Mohandessin, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,IT/Software Development Analyst/Research Engineering - Telecom/Technology Analyst Business Analysis Computer Science Information Technology (IT) Software System Analysis Programming
10,Office Assistant,Confidential ,4 hours ago,"Hurghada, Red Sea, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,Administration Customer Service/Support Operations/Management administrative Administration business Microsoft Office English office MS Office
11,Customer Relations Agent- Hurghada,Somabay ,4 hours ago,"Hurghada, Red Sea, Egypt ",Full Time,Entry Level,0 - 2 Yrs of Exp,Customer Service/Support CRM Customer Care Customer Service Customer Support Business Administration English Administration Hospitality business
12,Recruitment and Selection Section Head,El Banna Group Company ,4 hours ago,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced,7 - 10 Yrs of Exp,Administration Human Resources Operations/Management Evaluation Human Resources Communication Human Resources (HR) HR human resources management Personnel
13,Sales Executive - freight forwarding,White Gold Logistics ,4 hours ago,"Sheraton, Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,Business Development Logistics/Supply Chain Sales/Retail Sales sales skills Negotiation seafreight Logistics Communication Trucking
14,Angular Front-End Developer,Confidential ,4 hours ago,"Nasr City, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,Creative/Design/Art IT/Software Development Engineering - Telecom/Technology Angular CSS HTML JavaScript React UI front-end
15,"Backend developer (Node, Express) AWS experience",Confidential ,5 hours ago,"Nasr City, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,IT/Software Development AWS Node.js backend Git Express.js Software Development
16,Construction Project Manager,El Khalifa group ,5 hours ago,"Giza, Egypt ",Full Time,Manager,15 - 20 Yrs of Exp,Engineering - Construction/Civil/Architecture Project/Program Management Construction Project Management Engineering quality Safety Project
17,Call Center Team Leader,Nouvel Age ,5 hours ago,"Nasr City, Cairo, Egypt ",Full Time,Manager,1 - 3 Yrs of Exp,Customer Service/Support Operations/Management Sales/Retail Communication Call Center Customer Care Customer Service Customer Support Leadership Management
18,HR Manager,Hololona Limited Co. ,5 hours ago,"Cairo, Egypt ",Full Time,Experienced,8 - 10 Yrs of Exp,Human Resources Hr manager Microsoft Office Recruitment
19,Senior Technical Recruitment Specialist,Giza Systems ,5 hours ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,Human Resources IT/Software Development Hiring Human Resources (HR) Recruitment Sourcing Communication Human Resources
20,Assistant Coordinator - males only,مصنع الاوائل للصناعات المعدنيه ,5 hours ago,"Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,males_only Accounting/Finance Administration Human Resources Administration Coordinator Finance secretery Assistant Microsoft Office Admin Assistant
21,Real Estate Consultant,Jumeirah Development ,5 hours ago,"6th of October, Giza, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,Sales/Retail Real Estate Property MS Office Communication Skills Sales Target sales skills Sales
22,Junior Product Manager,Seoudi Supermarket ,5 hours ago,"Sheikh Zayed, Giza, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,IT/Software Development Agile business Commerce Computer Science Engineering Information Technology (IT) Marketing Product Management
23,Human Resources Generalist,Nozha Group ,5 hours ago,"Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,Administration Customer Service/Support Human Resources HR Systems Human Human Resources Human Resources (HR) Labor Labor Law Microsoft Office
24,Production Section Head,Samaya Electronics Egypt LTD ,5 hours ago,"Cairo, Egypt ",Full Time,Manager,6 - 8 Yrs of Exp,Manufacturing/Production Engineering - Mechanical/Electrical Production Production Engineering Environment
25,Call Center Representative (Roadside Assistance),Egypt Assistance  ,5 hours ago,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,1 - 2 Yrs of Exp,Customer Service/Support Call Center Customer Service Customer
26,Sales Account Manager ( Aswan ),Alarabia Group ,5 hours ago,"New Aswan, Aswan, Egypt ",Full Time,Manager,3 - 10 Yrs of Exp,Sales/Retail Sales Marketing sales skills Sales Target
27,Sales Account Manager ( Luxor ),Alarabia Group ,5 hours ago,"Luxor, Luxor, Egypt ",Full Time,Manager,3 - 10 Yrs of Exp,Sales/Retail Sales Marketing sales skills Sales Target
28,Operations Director FMCG,Confidential ,5 hours ago,"6th of October, Giza, Egypt ",Full Time,Senior Management,13 - 15 Yrs of Exp,Operations/Management Director Maintenance FMCG Engineering Management Finance operation Sales Supply Chain
29,Sales Account Manager ( Sohag ),Alarabia Group ,5 hours ago,"Gerga, Sohag, Egypt ",Full Time,Manager,3 - 10 Yrs of Exp,Business Development Customer Service/Support Sales/Retail Sales Marketing sales skills Sales Target
30,Sales Account Manager ( Assiut ),Alarabia Group ,5 hours ago,"Assuit, Assiut, Egypt ",Full Time,Manager,3 - 10 Yrs of Exp,Sales/Retail Sales Marketing sales skills Sales Target
31,Sales Account Manager ( Fayoum),Alarabia Group ,5 hours ago,"Fayoum, Fayoum, Egypt ",Full Time,Manager,3 - 10 Yrs of Exp,Business Development Customer Service/Support Sales/Retail Sales Marketing sales skills Sales Target
32,Sales Account Manager ( Kafr El-Sheikh ),Alarabia Group ,5 hours ago,"Baltim, Kafr Alsheikh, Egypt ",Full Time,Manager,3 - 10 Yrs of Exp,Business Development Customer Service/Support Sales/Retail Sales Marketing sales skills Sales Target
33,Teacher Assistant,Ethos International School ,6 hours ago,"Sheikh Zayed, Giza, Egypt ",Full Time,Entry Level,0 - 3 Yrs of Exp,Education/Teaching Teaching Education Teacher Assistant TA teacher
34,Computing Teacher,Ethos International School ,6 hours ago,"Sheikh Zayed, Giza, Egypt ",Full Time,Experienced,2 - 10 Yrs of Exp,IT/Software Development Engineering - Telecom/Technology Education/Teaching Communication skills Education School Teaching Computer Skills Communication teacher
35,Sales Account Manager ( Alexandria ),Alarabia Group ,6 hours ago,"Abu Qir, Alexandria, Egypt ",Full Time,Manager,3 - 10 Yrs of Exp,Business Development Customer Service/Support Sales/Retail Sales Marketing sales skills Sales Target
36,Social Media Content Creator,Confidential ,6 hours ago,"Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,Writing/Editorial Marketing/PR/Advertising Media/Journalism/Publishing Content content creator Content Management Marketing media Social Media WordPress
37,Freight Forwarder Sr. Operations Specialist,Transocean Forwarding and Commerce ,6 hours ago,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,5+ Yrs of Exp,Logistics/Supply Chain Operations/Management Logistics Supply Chain Shipping Freight Forwarding Operations Communication
38,Export Specialist,Rehana Group ,6 hours ago,"Nasr City, Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,Logistics/Supply Chain Export Logistics Supply Chain Export operations International Trade Operations
39,Sales Account Manager ( Cairo ),Alarabia Group ,6 hours ago,"Shorouk City, Cairo, Egypt ",Full Time,Manager,3 - 10 Yrs of Exp,Sales/Retail Sales Marketing sales skills Sales Target
40,Sales Account Manager ( El-Qaliubya),Alarabia Group ,6 hours ago,"Qalyub, Qalubia, Egypt ",Full Time,Manager,3+ Yrs of Exp,Business Development Customer Service/Support Sales/Retail account manager Administration business Business Administration Communication CRM Customer Service
41,Sales Account Manager ( El-Gharbia),Alarabia Group ,6 hours ago,"Tanta, Gharbia, Egypt ",Full Time,Manager,3 - 10 Yrs of Exp,Business Development Customer Service/Support Sales/Retail Sales Marketing sales skills Sales Target
42,Sales Account Manager ( El-Dakahlia),Alarabia Group ,6 hours ago,"Belkas, Dakahlia, Egypt ",Full Time,Manager,3+ Yrs of Exp,Business Development Customer Service/Support Sales/Retail account manager Administration business Business Administration Communication CRM Customer Service
43,Sales Account Manager ( El-Qanal),Alarabia Group ,6 hours ago,"Suez, Suez, Egypt ",Full Time,Manager,3+ Yrs of Exp,Business Development Customer Service/Support Sales/Retail account manager Administration business Business Administration Communication CRM Customer Service
44,Sales Account Manager ( El-Sharkia ),Alarabia Group ,6 hours ago,"Zagazig, Sharqia, Egypt ",Full Time,Manager,3+ Yrs of Exp,Business Development Customer Service/Support Sales/Retail account manager Administration business Business Administration Communication CRM Customer Service
45,Sales Account Manager ( El - Menoufia ),Alarabia Group ,6 hours ago,"Ashmun, Monufya, Egypt ",Full Time,Manager,3+ Yrs of Exp,Business Development Customer Service/Support Sales/Retail account manager Administration business Business Administration Communication CRM Customer Service
46,Sales Account Manager ( Behera ),Alarabia Group ,6 hours ago,"Beheira, Egypt ",Full Time,Manager,3 - 10 Yrs of Exp,Sales/Retail Sales Marketing sales skills Sales Target
47,Sales Account Manager - Qena,Alarabia Group ,6 hours ago,"Nagaa Hammadi, Qena, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,Sales/Retail Sales Sales Target Sales Skills Home Appliance Sales Microsoft Office
48,Full stack dev (Nextjs - Prisma - MySQL),Nugttah ,6 hours ago,"Riyadh, Saudi Arabia ",Freelance / Project,Experienced,3 - 20 Yrs of Exp,IT/Software Development NextJS MySQL Prisma
49,Branch Accountant - Alexandria,Confidential ,6 hours ago,"Alexandria, Egypt ",Full Time,Experienced,1 - 2 Yrs of Exp,males_only Accounting/Finance Accounting Finance Financial Management Microsoft Office Commerce
50,Sales Account Manager ( Beni Suef ),Alarabia Group ,6 hours ago,"Beni Suef, Beni Suef, Egypt ",Full Time,Experienced,3+ Yrs of Exp,males_only Business Development Customer Service/Support Sales/Retail Communication Sales sales skills Sales Target Marketing CRM
51,Foreign Procurement Specialist,Confidential ,6 hours ago,"10th of Ramadan City, Cairo, Egypt ",Full Time,Entry Level,0 - 2 Yrs of Exp,Purchasing/Procurement Business Administration Supply Chain Procurement Purchasing
52,Procurement MEP Engineer,RAQMU for Building and Construction ,6 hours ago,"Sheraton, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,Purchasing/Procurement Engineering - Mechanical/Electrical Electrical Mechanical Procurement MEP
53,Senior Lawyer,wahidhassanlawfirm ,6 hours ago,"Giza, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,Legal Corporate Corporate Law Law Legal Litigation
54,Administrative Assistant,wahidhassanlawfirm ,6 hours ago,"Dokki, Giza, Egypt ",Full Time,Experienced,5 - 10 Yrs of Exp,Administration Legal Administrative Assistant Secretary Administration administrative Microsoft Office Office management Typing Writing
55,Sales Engineer - Electrical,Mahmoud Electric ,6 hours ago,"Downtown, Cairo, Egypt ",Full Time,Entry Level,0 - 1 Yrs of Exp,Sales/Retail Engineering - Mechanical/Electrical Sales Target Engineering Electrical Engineering Electrical Sales Sales Skills Communication skills
56,Senior Outgoing Tour Operator,Blue Star tours ,6 hours ago,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,Sales/Retail Tourism/Travel Travel Tourism Sales Sales Skills Sales Target Customer Service Customer Care Customer Support
57,Domestic tour operator,Blue Star tours ,6 hours ago,"Cairo, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,Tourism/Travel Tour Operator Travel Domestic Domestic Tour operator operator Tourism Tour
58,Project Manager,Terre des hommes ,6 hours ago,"Downtown, Cairo, Egypt ",Full Time,Manager,7 - 10 Yrs of Exp,Project/Program Management UNICEF INGO NGO Project Management Project
59,Operations Manager Food and Beverage,EFS ,6 hours ago,"Maadi, Cairo, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,Operations/Management Hospitality Catering Manager Management
60,Quality Assurance Specialist,Wham Clinics  ,6 hours ago,"Sidi Bishr, Alexandria, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,females_only Quality Quality Assurance Analysis Communication Skills Computer Skills Quality QA ISO9001 Auditing Analytical
61,Stock Controller,Azza Fahmy Jewellery ,6 hours ago,"6th of October, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,Accounting/Finance Accounting Stock controller Stock Control Stock Inventory Audits Management
62,Technical office team leader,Sigma Engineering ,6 hours ago,"Obour City, Cairo, Egypt ",Full Time,Experienced,7 - 8 Yrs of Exp,Engineering - Telecom/Technology Engineering - Mechanical/Electrical Electrical Engineering Engineering Computer Skills AutoCAD English
63,Secretary,Mazzika Group ,6 hours ago,"Dokki, Giza, Egypt ",Full Time,Entry Level,0 - 1 Yrs of Exp,females_only Administration Microsoft Office Administration Secretary Data Entry Admin Typing Skills Office Management Microsoft Secretarial
64,Sr. SEO Specialist,Skillitt ,6 hours ago,"Maadi, Cairo, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,Writing/Editorial Marketing/PR/Advertising SEO Seo strategy
65,Technical Sales Engineer / Representative,Karma Trading & Engineering ,6 hours ago,"Helmeyat Alzaytoun, Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,Business Development Sales/Retail Engineering - Other Sales sales skills Engineering
66,Experienced Projects / Technical Support Engineer,Karma Trading & Engineering ,6 hours ago,"Helmeyat Alzaytoun, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,Installation/Maintenance/Repair Project/Program Management Engineering - Other engineer Engineering Projects Support engineer Technical Support AutoCAD Communication
67,Online English Language Instructor,Speakup ,7 hours ago,"Cairo, Egypt ",Part TimeFreelance / ProjectWork From Home,Experienced,3 - 6 Yrs of Exp,Education/Teaching Training/Instructor ESL English Training TEFL Education CELTA tesol Teaching
68,Senior Software Tester - Quality Assurance,Confidential ,7 hours ago,"Nasr City, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,IT/Software Development Quality Engineering - Telecom/Technology QA QC Quality Control Quality Assurance Software Testing Test Cases Selenium
69,Civil/structure design engineer,Confidential ,7 hours ago,"Maadi, Cairo, Egypt ",Full Time,Experienced,8 - 12 Yrs of Exp,Engineering - Construction/Civil/Architecture Civil Engineering Structural Engineering Design Engineering structural Structure Civil Steel
70,Branch Accountant,GPS ,7 hours ago,"Damanhour, Beheira, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,Accounting/Finance Accounting Branch Commerce Finance Financial Management Production
71,Senior Flutter Developer,Sulfah ,7 hours ago,"Maadi, Cairo, Egypt ",Full Time,Experienced,3+ Yrs of Exp,IT/Software Development Engineering - Telecom/Technology flutter Computer Science Engineering Software Engineering Information Technology (IT) RESTful Software Development Android
72,Backend Team lead - PHP,Confidential ,7 hours ago,"Nasr City, Cairo, Egypt ",Full Time,Experienced,4+ Yrs of Exp,IT/Software Development Engineering - Telecom/Technology PHP Mongo DB Mongo Symfony2 Angular Yii Laravel Symfony
73,iOS Mobile Developer,Confidential ,7 hours ago,"Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,IT/Software Development Engineering - Telecom/Technology App Store computer Computer Science iOS OOP Software Development Swift
74,Android Developer,Confidential ,7 hours ago,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,IT/Software Development android developer Android app Computer Science Development Engineering Information Technology (IT) Mobile Development Mobile Landscape Software Development
75,Executive Director (CEO),Roeya ,7 hours ago,"Riyadh, Saudi Arabia ",Full Time,Senior Management,8+ Yrs of Exp,Engineering - Construction/Civil/Architecture Operations/Management C-Level Executive/GM/Director architectural Civil Engineering Management Project Management Construction Finishing
76,Animator,Confidential ,7 hours ago,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,Creative/Design/Art Media/Journalism/Publishing Motion Animating Animation Adobe illustrator Motion Graphics Adobe Photoshop
77,Illustrator,Confidential ,7 hours ago,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,Creative/Design/Art Adobe Photoshop Adobe illustrator Graphic Design Animation Design Editing
78,Product Owner,Confidential ,7 hours ago,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,IT/Software Development Project/Program Management Engineering - Telecom/Technology business Computer Science Development Information Technology (IT) Engineering Marketing Product
79,Welfare Champion,Kode Clubs ,7 hours ago,"Cairo, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,Customer Service/Support Hospitality/Hotels/Food Services Quality Guest Satisfaction Guest relations Hospitality Customer Service Security Health and Safety
80,UI Developer,Ejada  ,7 hours ago,"Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,IT/Software Development CSS Software Development UI Bootstrap front-end HTML User Interface Computer Science
81,Farm Manager,Confidential ,7 hours ago,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Manager,5 - 15 Yrs of Exp,males_only R&D/Science Operations/Management Agriculture Animal Science Production Farms Farming Agriculture Engineering Engineering Management
82,CRM Manager,Confidential ,7 hours ago,"Nozha, Cairo, Egypt ",Full Time,Manager,5 - 7 Yrs of Exp,Customer Service/Support CRM Customer Service Manager
83,Senior Software Tester,Confidential ,7 hours ago,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,IT/Software Development Quality Engineering - Telecom/Technology mobile applications Software Development Testing Engineering Information Technology (IT) computer Automation
84,Quality Control Engineer,Kick Start Interactive ,7 hours ago,"Dokki, Giza, Egypt ",Full Time,Experienced,3 - 4 Yrs of Exp,IT/Software Development Communication skills Agile JIRA Selenium Cypress SQL
85,Digital Marketing Executive,Confidential ,7 hours ago,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,3 - 6 Yrs of Exp,Marketing/PR/Advertising Communication Content Digital Digital Marketing E-Marketing Google Adwords Google Analytics SEO Social Media
86,Senior .NET Developer,Ejada  ,7 hours ago,"Cairo, Egypt ",Full Time,Entry Level,3 - 5 Yrs of Exp,IT/Software Development Computer Science .Net Framework C#
87,Social Media Specialist,Confidential ,7 hours ago,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,3+ Yrs of Exp,Marketing/PR/Advertising Media/Journalism/Publishing Social Media E-marketing Marketing Market Research Digital Marketing social media Brand Awareness
88,Marketing Team Leader,Deutschland Technology Limited ,7 hours ago,"Obour City, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,Marketing/PR/Advertising facebook Experience Marketing media Social Media Construction
89,Content Creator,Confidential ,7 hours ago,"Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,Marketing/PR/Advertising Content content creator Content Management copywriter Editing English journalism Marketing media
90,Scriptwriter,Confidential ,7 hours ago,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,Writing/Editorial Marketing broadcast Scriptwriting media Content Content Writing Creative English Production
91,Senior .Net Backend Developer,Confidential ,7 hours ago,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,IT/Software Development Engineering - Telecom/Technology ASP.Net backend Computer Science Engineering Information Technology (IT) Software Development SQL MVC
92,Senior Flutter Mobile Developer,Confidential ,7 hours ago,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,2+ Yrs of Exp,IT/Software Development Engineering - Telecom/Technology Computer Science Android flutter Software Development Information Technology (IT) iOS Design Engineering
93,2D illustrator / Designer,Confidential ,7 hours ago,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,Creative/Design/Art Media/Journalism/Publishing Adobe illustrator Adobe Photoshop Graphic Design Drawing illustrator Fine Arts Applied Arts Graphic
94,Instructional Designer,Confidential ,7 hours ago,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,Creative/Design/Art Education/Teaching Training/Instructor Design Education Educational Educational Technology English Articulate Instructional
95,Lead Motion Designer,Confidential ,7 hours ago,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,4 - 6 Yrs of Exp,Creative/Design/Art photoshop Adobe illustrator Adobe Photoshop Creative Design Graphic Design illustrator Animation Project
96,Accounts Receivable Accountant,Kode Clubs ,7 hours ago,"Cairo, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,Accounting/Finance Accounting Finanace Accounts Receivable Odoo Collection
97,Motion Graphics Designer,Confidential ,7 hours ago,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,Creative/Design/Art Adobe Photoshop Animation Communication Computer Science Design illustrator Creative photoshop Software
98,Video Editor,Confidential ,7 hours ago,"Heliopolis, Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,Creative/Design/Art Adobe After Effects Adobe Photoshop Adobe Premiere After Effects Cinematography Digital technology Editing media video
99,Treasury Accountant,SAK Developments ,7 hours ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,Accounting/Finance Accounting Finance Treasury
100,Senior Storyboard Artist,Confidential ,7 hours ago,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,Creative/Design/Art Design media Drawing Creative Content Writing Storyboards
101,Lead Graphic Designer,Confidential ,7 hours ago,"Heliopolis, Cairo, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,Creative/Design/Art Media/Journalism/Publishing Adobe Photoshop JavaScript Creative Graphic Graphic Design Adobe Creative Suite Adobe illustrator Art
102,Magento Developer,classera ,7 hours ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,IT/Software Development Engineering - Telecom/Technology Computer Science CSS HTML Information Technology (IT) JavaScript Magento MySQL PHP
103,Senior Graphic Designer,Confidential ,7 hours ago,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,3 - 4 Yrs of Exp,Creative/Design/Art Marketing/PR/Advertising Media/Journalism/Publishing Adobe Photoshop Graphic Designing Aftereffect Motion Graphics illustrator Animation
104,technical project coordinator,MOMENTUM ,7 hours ago,"Cairo, Egypt ",Full Time,Experienced,4 - 7 Yrs of Exp,Engineering - Construction/Civil/Architecture Engineering Microsoft Project Project coordinator
105,Treasury Accountant,Confidential ,7 hours ago,"Nozha, Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,Accounting/Finance Accounting Communication Communication skills Finance Financial Treasury
106,Payable Accountant,Confidential ,7 hours ago,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,Accounting/Finance payable accountant Accounting Accounts Payable ERP systems ERP Commerce Finance Payable Microsoft Office
107,Storyboard Artist,Confidential ,7 hours ago,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,Creative/Design/Art Content Writing Creative Design Drawing media Storyboards
108,Senior Technical Support Engineer,Confidential ,7 hours ago,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,3 - 6 Yrs of Exp,IT/Software Development Engineering - Telecom/Technology Computer Science Engineering Information Technology (IT) Technical support engineer Technical Support technical computer
109,Software Engineer,Confidential ,7 hours ago,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,IT/Software Development computer Computer Science Engineering Information Technology (IT) Software Engineering SQL
110,Telesales Agent,Confidential ,7 hours ago,"Cairo, Egypt ",Full Time,Student,Sales/Retail,Customer Service sales skills Sales Agent telesales agent Telesales English fluent
111,Site Store Keeper - MEP Industry,Emco Tech ,7 hours ago,"Sheraton, Cairo, Egypt ",Full Time,Experienced,4 - 6 Yrs of Exp,Administration Store Keeping store Warehousing Administration
112,Principal Backend Engineer,Zeidex ,7 hours ago,"Giza, Giza, Egypt ",Full TimeWork From Home,Manager,7 - 15 Yrs of Exp,Engineering - Construction/Civil/Architecture Engineering - Mechanical/Electrical Engineering - Other AWS Engineering APIs SQL Software Engineering PHP Computer Science
113,Senior React Native Developer,Zeidex ,7 hours ago,"Giza, Giza, Egypt ",Full TimeWork From Home,Experienced,3 - 10 Yrs of Exp,IT/Software Development Engineering - Other CSS Computer Science React Native React HTML Software Development
114,IT Help Desk Specialist,Kode Clubs ,7 hours ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,Installation/Maintenance/Repair IT/Software Development Engineering - Telecom/Technology Help desk Information Technology (IT) Installation Computer Science Network Software Installation Ticketing Systems
115,Site Engineer,MOMENTUM ,7 hours ago,"Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,Engineering - Construction/Civil/Architecture Construction Management Site Engineering
116,Business Market Researcher,MENA INTEL ,7 hours ago,"Nasr City, Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,Customer Service/Support Project/Program Management Analyst/Research Market Research Research Marketing Customer Service Call Center Telesales English
117,Telesales Manager,Hands of Hope Physical Therapy & Wellness ,7 hours ago,"Cairo, Egypt ",Full Time,Manager,6 - 8 Yrs of Exp,Customer Service/Support Operations/Management Sales/Retail Sales Sales Strategies sales skills Sales Target Management Communication skills
118,Senior Procurement,Unioil ,7 hours ago,"Abbassia, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,females_preferred Logistics/Supply Chain Purchasing/Procurement FMCG Procurement Purchasing Supply Chain
119,SME - Math ( Vedic Math),Confidential ,7 hours ago,"Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,Education/Teaching Communication English SME Writing
120,Event Marketing Specialist,classera ,7 hours ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,Marketing/PR/Advertising Media/Journalism/Publishing E-Marketing Communication skills B2B Marketing Graphic Design Design
121,Saas Software Sales Executive,Glamera ,7 hours ago,"Nasr City, Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,IT/Software Development Sales CRM B2B Software Selling Sales Target sales skills client
122,English SME,Confidential ,7 hours ago,"Mohandessin, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,Education/Teaching Education Teaching Curriculum English Teaching English
123,Content Marketing specialist,classera ,7 hours ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,Marketing/PR/Advertising Communication English Content Content Marketing
