,Job Names,Company Name,Post Time,Location,Job Type,Exp Level,Years Of Exp,Job Skills
8017,Talent Acquisition Coordinator (Temporary),Confidential ,1 month ago,"Nasr City, Cairo, Egypt ",Full Time,Entry Level,0 - 1 Yrs of Exp,Administration Human Resources Human Resources (HR) Interviewing Recruitment Talent acquisition
8018,Business Excellence Executive,GB Corp ,1 month ago,"Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,Business Development Project/Program Management Business Development Business Excellence Executive business Microsoft Office
8019,Photographer,ZNO ,1 month ago,"Alexandria, Egypt ",Part TimeFreelance / Project,Entry Level,1 - 2 Yrs of Exp,Marketing/PR/Advertising Editing media Photography Videography videos
8020,HSE Supervisor,Ovo Egypt ,1 month ago,"6th of October, Giza, Egypt ",Full Time,Experienced,4 - 6 Yrs of Exp,Manufacturing/Production HSE quality Firefighting Safety FMCG Manufacturing Industry
8021,Senior DBA,Sword Egypt ,1 month ago,"Maadi, Cairo, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,IT/Software Development DBA MS SQL ERP ETL Cloud
8022,Cost Controller,Growxcel ,1 month ago,"Dokki, Giza, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,Accounting/Finance Manufacturing/Production Strategy/Consulting Accounting Cost Control Finance Food & Beverage Manufacturing Industry Financial Services Medical
8023,HR Personnel Coordinator,Burger King ,1 month ago,"Heliopolis, Cairo, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,males_only Human Resources Commerce Human Resources (HR) Personnel Communication skills HR Certificate HR English
8024,Senior Personnel Specialist,Ibn Sina Pharma ,1 month ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,Human Resources excel Governmental Human Resources (HR) Microsoft Insurance Microsoft Office Personnel Recruitment word
8025,Maintenance Officer,Areeba Egypt ,1 month ago,"Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,Installation/Maintenance/Repair Technical Support Fintech POS Maintenance
8026,Accounting Manager,Kandil Industries ,1 month ago,"Nasr City, Cairo, Egypt ",Full Time,Manager,8 - 10 Yrs of Exp,Accounting/Finance Accounting analytical Communication skills Finance Financial Management Manufacturing business
8027,Senior Settlement & Reconciliation Accountant,Areeba Egypt ,1 month ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,Accounting/Finance accountant Accounting Accounts Payable Finance Microsoft Office Reconciliation settlement ERP
8028,Store Keeper,El Mohandess Print House ,1 month ago,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,Logistics/Supply Chain Store Keeping Supply Chain Warehousing Warehouse Administration Business Administration Logistics
8029,English Teacher - Middle School,Egyptian British International School ,1 month ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,2+ Yrs of Exp,Education/Teaching Education Teaching Communication Skills Science English Teaching English
8030,Real Estate Accountant,Jumeirah Development ,1 month ago,"6th of October, Giza, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,Accounting/Finance ERP Experience MS Office Real Estate
8031,Oracle Financial Consultant,Nile Wood ,1 month ago,"Agouza, Giza, Egypt ",Full Time,Experienced,4 - 5 Yrs of Exp,males_only Accounting/Finance IT/Software Development Engineering - Telecom/Technology Finance Communication skills Oracle Fusion Oracle Accounting Information Technology (IT)
8032,Quality Engineer,Giza Systems ,1 month ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,4 - 6 Yrs of Exp,IT/Software Development Quality Engineering - Telecom/Technology API Computer Science Engineering Management Testing Software Testing Software
8033,Training Program Supervisor,Speakup ,1 month ago,"Cairo, Egypt ",Full Time,Experienced,3+ Yrs of Exp,Human Resources Operations/Management Education/Teaching Scheduling Training English Instructing English Training
8034,OpenCart Developer,Arabia for Information Technology ,1 month ago,"Cairo, Egypt ",Full Time,Experienced,3+ Yrs of Exp,IT/Software Development Engineering - Telecom/Technology Web Development Software Development Web Application Design Information Technology (IT) Development Computer Science OpenCart OpenCart Development
8035,Junior Operations Engineer - Network/Cloud,Link Datacenter ,1 month ago,"Giza, Egypt ",Full Time,Entry Level,0 - 1 Yrs of Exp,Installation/Maintenance/Repair IT/Software Development Engineering - Telecom/Technology Information Technology (IT) Communication Operations Project Management SQL Management Communication skills
8036,"Accountant-Borg Alarab""Alexandria""",Pharaonia Pharma ,1 month ago,"Bourj Alarab, Alexandria, Egypt ",Full Time,Experienced,3 - 6 Yrs of Exp,Accounting/Finance Pharmaceutical Accounting Finance Financial Analysis Payables Receivables Pharmaceutical
8037,Medical Sales Specialist-Private Hospitals background,Confidential ,1 month ago,"New Cairo, Cairo, Egypt ",Full Time,Entry Level,0 - 7 Yrs of Exp,Medical/Healthcare Medical Negotiation Communication sales skills Pharmacy
8038,Sales Coordinator .,Fawry for Banking Technology and Electronic Payments S.A.E ,1 month ago,"Abu Qir, Alexandria, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,Customer Service/Support Sales/Retail Insurance Outdoor Sales sales skills Selling Skills Negotiation Customer Service
8039,CEO Office Manager,Smart EGAT ,1 month ago,"Haram, Giza, Egypt ",Full Time,Experienced,3 - 7 Yrs of Exp,females_only Administration Operations/Management Secretary Microsoft Office Administration Office management Time Management
8040,Marketing/Sales Executive -Online Platforms,Aidaree ,1 month ago,"Cairo, Egypt ",Part TimeFreelance / ProjectWork From Home,Experienced,3 - 20 Yrs of Exp,Business Development Marketing/PR/Advertising Sales/Retail Sales Marketing sales skills Communication Sales Executive Social Media Sales Target
8041,Clothing Production Coordinator,FREETEX ,1 month ago,"Obour City, Cairo, Egypt ",Full Time,Entry Level,1 - 5 Yrs of Exp,Manufacturing/Production Sourcing Clothing Manufacturing Textile Manufacturing Clothing textile Quality Control Manufacturing
8042,Guest Service Agent,Zewail City ,1 month ago,"6th of October, Giza, Egypt ",Full Time,Experienced,1 - 2 Yrs of Exp,males_only Customer Service/Support Tourism/Travel Communication Customer Care Customer Service Customer Support English Negotiation Skills Computer Skills
8043,Senior Electrical engineer,Bainona Engineering Company  ,1 month ago,"Nasr City, Cairo, Egypt ",Full Time,Experienced,8 - 15 Yrs of Exp,Engineering - Construction/Civil/Architecture gulf experience Electrical Engineering Communication
8044,Cost Engineer,alfanar ,1 month ago,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,3 - 7 Yrs of Exp,Engineering - Construction/Civil/Architecture Construction Cost Cost Management Engineering Primavera
8045,English Back Office Agents (U Tech...)... Males OnlYY,Majorel Egypt ,1 month ago,"Katameya, Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,Administration Customer Service/Support IT/Software Development Back Office Webchat Customer support Customer service Customer Care English
8046,Sales Coordinator,Fawry for Banking Technology and Electronic Payments S.A.E ,1 month ago,"6th of October, Giza, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,Sales/Retail Negotiation Outdoor Sales sales skills Insurance Selling Skills
8047,Graphic Designer,Raya Distribution ,1 month ago,"Maadi, Cairo, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,Creative/Design/Art Marketing/PR/Advertising Media/Journalism/Publishing Adobe Photoshop Adobe illustrator Aftereffects Design Editing Graphic Design premier
8048,Accountant,Hedab Alkhaleej ,1 month ago,"Qassim, Saudi Arabia ",Full Time,Experienced,4 - 7 Yrs of Exp,Accounting/Finance Accounting Manufacturing accountant
8049,Cost Accountant,Hedab Alkhaleej ,1 month ago,"Qassim, Saudi Arabia ",Full Time,Experienced,4 - 10 Yrs of Exp,Accounting/Finance Accounting Cost Accounting Cost Finance
8050,Assistant Security Manager,Logistica ,1 month ago,"6th of October, Giza, Egypt ",Full Time,Experienced,7 - 10 Yrs of Exp,males_only Administration Other Police Security Security Risk Assesment ISO 28000 Supply Chain Security
8051,Technical Affairs Coordinator,NEW GIZA ,1 month ago,"6th of October, Giza, Egypt ",Full Time,Entry Level,3 - 7 Yrs of Exp,Engineering - Construction/Civil/Architecture Engineering Architecture Time Management
8052,business analysis,B,1 month ago,"6th of October, Giza, Egypt ",Full TimePart TimeFreelance / Project,Senior Management,1 - 20 Yrs of Exp,Accounting/Finance IT/Software Development Analyst/Research Analysis Business Administration Business Analysis Commercial Communication Data Information Technology (IT)
8053,Production Engineer (6th October Only),Cellopack for Packaging Industries ,1 month ago,"6th of October, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,males_only Manufacturing/Production Engineering - Mechanical/Electrical Manufacturing Mechanical Engineering Mechanical Production English Language Packaging Production Engineering Communication skills Mechanical production Engineering
8054,Electrical Production Engineer (MVSG),TEPCO S.A.E. ,1 month ago,"6th of October, Giza, Egypt ",Full Time,Entry Level,2 - 3 Yrs of Exp,Manufacturing/Production Engineering - Mechanical/Electrical Engineering - Other Electrical Engineering Electrical Medium Voltage Switchgear medium voltage switchgear Manufacturing Engineering
8055,Fleet Maintenance Engineer,El,1 month ago,"Alexandria, Egypt ",Full TimeShift Based,Experienced,2 - 5 Yrs of Exp,Installation/Maintenance/Repair Engineering - Mechanical/Electrical Engineering - Other Fleet Fleet Maintenance Maintenance Mechanical Engineering Trucks
8056,Dutch Customer Service Agent (Nederlandstalig),Majorel Egypt ,1 month ago,"Katameya, Cairo, Egypt ",Full TimeShift BasedWork From Home,Entry Level,Customer Service/Support,Agent Call Center Customer Care Customer Service Customer service agent Customer Support Dutch
8057,Technical Affairs Manager,NEW GIZA ,1 month ago,"6th of October, Giza, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,Engineering - Construction/Civil/Architecture Engineering Management Skills
8058,Warehouse Manager,Global Academic Foundation Hosting University of Hertfordshire UH ,1 month ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,8 - 10 Yrs of Exp,Logistics/Supply Chain Operations/Management Purchasing/Procurement Logistics Communication Warehouse
8059,Junior Payrol Specialist,Linrco ,1 month ago,"Nasr City, Cairo, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,Accounting/Finance Human Resources Bachelor of commerce English Payroll
8060,Product Associate / Analyst,Tam Development LLC ,1 month ago,"Riyadh, Saudi Arabia ",Full TimeWork From Home,Experienced,1 - 5 Yrs of Exp,IT/Software Development Analyst/Research Engineering - Telecom/Technology Agile Business Analysis Communication skills Project Management Software Development Computer Science
8061,Assistant Office Manager,Upwyde ,1 month ago,"Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,females_only Administration Customer Service/Support Operations/Management Assistant Administration Microsoft Office office Manager Office management Office manager
8062,Purchasing Manager,Global Academic Foundation Hosting University of Hertfordshire UH ,1 month ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,8 - 10 Yrs of Exp,Purchasing/Procurement Administration Procurement Logistics
8063,Site Accountant,Upwyde ,1 month ago,"Cairo, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,males_only Accounting/Finance Administration Engineering - Construction/Civil/Architecture Accounting Construction Finance Financial Analysis
8064,Technical Office Engineer,NEW GIZA ,1 month ago,"6th of October, Giza, Egypt ",Full Time,Experienced,3 - 7 Yrs of Exp,Engineering - Construction/Civil/Architecture Architecture Engineering shop drawing
8065,Warehouse Officer,Global Academic Foundation Hosting University of Hertfordshire UH ,1 month ago,"New Cairo, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,Administration Logistics/Supply Chain Operations/Management Supply Chain Warehouse Warehousing
